product_code,title,series,author,type,tags
GSM/125,Riemann Surfaces by Way of Complex Analytic Geometry,Graduate Studies in Mathematics,"Dror Varolin: Stony Brook University, Stony Brook, NY",,
GSM/124,Toric Varieties,Graduate Studies in Mathematics,"David A. Cox: Amherst College, MA, John B. Little:  College of the Holy Cross, Worcester, MA,Henry K. Schenck: University of Illinois at Urbana-Champaign, Urbana, IL",,
GSM/114,Advanced Modern Algebra: Second Edition,Graduate Studies in Mathematics,Joseph J. Rotman,,
GSM/117,"An Epsilon of Room, I: Real Analysis: pages from year three of a mathematical blog",Graduate Studies in Mathematics,"Terence Tao: University of California, Los Angeles, Los Angeles, CA",,
GSM/115,An Introductory Course on Mathematical Game Theory,Graduate Studies in Mathematics,"Julio González-Díaz: Universidade de Santiago de Compostela, Santiago de Compostela, Spain, Ignacio García-Jurado:  Universidad de Coruña, Coruña, Spain,M. Gloria Fiestras-Janeiro: Universidade de Vigo, Vigo, Spain",,
GSM/113,Continuous Time Markov Processes: An Introduction,Graduate Studies in Mathematics,"Thomas M. Liggett: University of California, Los Angeles, Los Angeles, CA",,
GSM/110,Differential Algebraic Topology: From Stratifolds to Exotic Spheres,Graduate Studies in Mathematics,"Matthias Kreck: Hausdorff Research Institute for Mathematics, Bonn, Germany",,
GSM/116,Linear Functional Analysis,Graduate Studies in Mathematics,"Joan Cerdà: Universitat de Barcelona, Barcelona, Spain",,
GSM/112,"Optimal Control of Partial Differential Equations: Theory, Methods and Applications",Graduate Studies in Mathematics,"Fredi Tröltzsch: Technische Universität Berlin, Berlin, Germany",,
GSM/19.R,Partial Differential Equations,Graduate Studies in Mathematics,"Lawrence C. Evans: University of California, Berkeley, Berkeley, CA",,
GSM/111,Ricci Flow and the Sphere Theorem,Graduate Studies in Mathematics,"Simon Brendle: Stanford University, Stanford, CA",,
GSM/109,Training Manual on Transport and Fluids,Graduate Studies in Mathematics,"John C. Neu: University of California, Berkeley, Berkeley, CA",,
GSM/105,A First Course in Sobolev Spaces,Graduate Studies in Mathematics,Giovanni Leoni,,
GSM/104,Algebra: Chapter 0,Graduate Studies in Mathematics,"Paolo Aluffi: Florida State University, Tallahassee, FL",,
GSM/103,Configurations of Points and Lines,Graduate Studies in Mathematics,"Branko Grünbaum: University of Washington, Seattle, WA",,
GSM/69.R,Curves and Surfaces: Second Edition,Graduate Studies in Mathematics,"Sebastián Montiel: Universidad de Granada, Granada, Spain,Antonio Ros: Universidad de Granada, Granada, Spain",,
GSM/106,Embeddings in Manifolds,Graduate Studies in Mathematics,"Robert J. Daverman: University of Tennessee, Knoxville, Knoxville, TN,Gerard A. Venema: Calvin College, Grand Rapids, MI",,
GSM/107,Manifolds and Differential Geometry,Graduate Studies in Mathematics,"Jeffrey M. Lee: Texas Tech University, Lubbock, TX",,
GSM/108,Mapping Degree Theory,Graduate Studies in Mathematics,"Enrique Outerelo: Universidad Complutense de Madrid, Madrid, Spain,Jesús M. Ruiz: Universidad Complutense de Madrid, Madrid, Spain",,
GSM/88,\(\textrm {C}^*\)-Algebras and Finite-Dimensional Approximations,Graduate Studies in Mathematics,"Nathanial P. Brown: Pennsylvania State University, State College, PA,Narutaka Ozawa: University of California, Los Angeles, Los Angeles, CA and University of Tokyo, Tokyo, Japan",,
GSM/89,A Course on the Web Graph,Graduate Studies in Mathematics,"Anthony Bonato: Ryerson University, Toronto, ON, Canada",,
GSM/90,Basic Quadratic Forms,Graduate Studies in Mathematics,"Larry J. Gerstein: University of California, Santa Barbara, Santa Barbara, CA",,
GSM/97,Complex Made Simple,Graduate Studies in Mathematics,"David C. Ullrich: Oklahoma State University, Stillwater, OK",,
GSM/98,Discrete Differential Geometry: Integrable Structure,Graduate Studies in Mathematics,"Alexander I. Bobenko: Technische Universität Berlin, Berlin, Germany,Yuri B. Suris: Technische Universität München, Garching bei München, Germany",,
GSM/92,Finite Group Theory,Graduate Studies in Mathematics,"I. Martin Isaacs: University of Wisconsin–Madison, Madison, WI",,
GSM/91,Graduate Algebra: Noncommutative View,Graduate Studies in Mathematics,"Louis Halle Rowen: Bar-Ilan University, Ramat Gan, Israel",,
GSM/86,Lectures on Analytic Differential Equations,Graduate Studies in Mathematics,"Yulij Ilyashenko: Cornell University, Ithaca, NY and Moscow State University, Moscow, Russia and Steklov Institute of Mathematics, Moscow, Russia and Independent University of Moscow, Moscow, Russia,Sergei Yakovenko: Weizmann Institute of Science, Rehovot, Israel",,
GSM/96,Lectures on Elliptic and Parabolic Equations in Sobolev Spaces,Graduate Studies in Mathematics,"N. V. Krylov: University of Minnesota, Minneapolis, MN",,
GSM/95,Quantum Mechanics for Mathematicians,Graduate Studies in Mathematics,"Leon A. Takhtajan: Stony Brook University, Stony Brook, NY",,
GSM/94,Representations of Semisimple Lie Algebras in the BGG Category \(\mathscr {O}\),Graduate Studies in Mathematics,"James E. Humphreys: University of Massachusetts, Amherst, Amherst, MA",,
GSM/93,Topics in Differential Geometry,Graduate Studies in Mathematics,"Peter W. Michor: Universität Wien, Wien, Austria and Erwin Schrödinger Institut für Mathematische Physik, Wien, Austria",,
GSM/84,Cones and Duality,Graduate Studies in Mathematics,"Charalambos D. Aliprantis: Purdue University, West Lafayette, IN,Rabee Tourky: The University of Queensland, Brisbane, Queensland, Australia",,
GSM/81,Elements of Homology Theory,Graduate Studies in Mathematics,"V. V. Prasolov: Independent University of Moscow, Moscow, Russia",,
GSM/83,Functions of Several Complex Variables and Their Singularities,Graduate Studies in Mathematics,"Wolfgang Ebeling: Leibniz Universität Hannover, Hannover, Germany",,
GSM/79,"Modular Forms, a Computational Approach",Graduate Studies in Mathematics,"William Stein: University of Washington, Seattle, WA",,
GSM/80,Probability,Graduate Studies in Mathematics,"Davar Khoshnevisan: University of Utah, Salt Lake City, UT",,
GSM/82,Pseudo-differential Operators and the Nash–Moser Theorem,Graduate Studies in Mathematics,"Serge Alinhac: Université Paris-Sud, Orsay, France,Patrick Gérard: Université Paris-Sud, Orsay, France",,
GSM/85,Recurrence and Topology,Graduate Studies in Mathematics,"John M. Alongi: Northwestern University, Evanston, IL,Gail S. Nelson: Carleton College, Northfield, MN",,
GSM/87,Twenty-Four Hours of Local Cohomology,Graduate Studies in Mathematics,"Srikanth B. Iyengar: University of Nebraska, Lincoln, NE, Graham J. Leuschke:  Syracuse University, Syracuse, NY, Anton Leykin:  Institute for Mathematics and Its Applications, Syracuse, NY, Claudia Miller:  Syracuse University, Syracuse, NY, Ezra Miller:  University of Minnesota, Minneapolis, MN, Anurag K. Singh:  University of Utah, Salt Lake City, UT,Uli Walther: Purdue University, West Lafayette, IN",,
GSM/75,Applied Asymptotic Analysis,Graduate Studies in Mathematics,"Peter D. Miller: University of Michigan, Ann Arbor, MI",,
GSM/74,Elements of Combinatorial and Differential Topology,Graduate Studies in Mathematics,"V. V. Prasolov: Independent University of Moscow, Moscow, Russia",,
GSM/40.R,Function Theory of One Complex Variable: Third Edition,Graduate Studies in Mathematics,"Robert E. Greene: University of California, Los Angeles, Los Angeles, CA,Steven G. Krantz: Washington University, St. Louis, MO",,
GSM/73,Graduate Algebra: Commutative View,Graduate Studies in Mathematics,Louis Halle Rowen,,
GSM/77,Hamilton’s Ricci Flow,Graduate Studies in Mathematics,"Bennett Chow: University of California, San Diego, La Jolla, CA, Peng Lu:  University of Oregon, Eugene, OR,Lei Ni: University of California, San Diego, La Jolla, CA",,
GSM/72,Introduction to the Mathematics of Finance,Graduate Studies in Mathematics,"R. J. Williams: University of California, San Diego, La Jolla, CA",,
GSM/76,Measure Theory and Integration,Graduate Studies in Mathematics,"Michael E. Taylor: University of North Carolina, Chapel Hill, Chapel Hill, NC",,
GSM/71,Modern Geometric Structures and Fields,Graduate Studies in Mathematics,"S. P. Novikov: University of Maryland, College Park, MD,I. A. Taimanov: Russian Academy of Sciences, Novosibirsk, Russia",,
GSM/68,A Geometric Approach to Free Boundary Problems,Graduate Studies in Mathematics,"Luis Caffarelli: University of Texas, Austin, TX,Sandro Salsa: Politecnico di Milano, Milan, Italy",,
GSM/65,Global Calculus,Graduate Studies in Mathematics,"S. Ramanan: Chennai Mathematics Institute, Chennai, India",,
GSM/67,Introduction to Quadratic Forms over Fields,Graduate Studies in Mathematics,"T.Y. Lam: University of California, Berkeley, CA",,
GSM/62,A Companion to Analysis: A Second First and First Second Course in Analysis,Graduate Studies in Mathematics,"T. W. Körner: University of Cambridge, Cambridge, England",,
GSM/66,Functional Analysis: An Introduction,Graduate Studies in Mathematics,"Yuli Eidelman: Tel Aviv University, Tel Aviv, Israel, Vitali Milman:  Tel Aviv University, Tel Aviv, Israel,Antonis Tsolomitis: University of the Aegean, Samos, Greece",,
GSM/64,Lectures on the Orbit Method,Graduate Studies in Mathematics,"A. A. Kirillov: University of Pennsylvania, Philadelphia, PA",,
GSM/63,Resolution of Singularities,Graduate Studies in Mathematics,"Steven Dale Cutkosky: University of Missouri, Columbia, MO",,
GSM/56,A Course in Algebra,Graduate Studies in Mathematics,"E. B. Vinberg: Moscow State University, Moscow, Russia",,
GSM/55,A Scrapbook of Complex Curve Theory: Second Edition,Graduate Studies in Mathematics,"C. Herbert Clemens: Ohio State University, Columbus, Columbus, OH",,
GSM/61,Cartan for Beginners: Differential Geometry via Moving Frames and Exterior Differential Systems,Graduate Studies in Mathematics,"Thomas A. Ivey, J. M. Landsberg",,
GSM/57,Concise Numerical Mathematics,Graduate Studies in Mathematics,"Robert Plato: Technical University of Berlin, Berlin, Germany",,
GSM/60,Foliations II,Graduate Studies in Mathematics,"Alberto Candel: California State University, Northridge, CA,Lawrence Conlon: Washington University, St. Louis, MO",,
GSM/59,Representation Theory of Finite Groups: Algebra and Arithmetic,Graduate Studies in Mathematics,"Steven H. Weintraub: Lehigh University, Bethlehem, PA",,
GSM/58,Topics in Optimal Transportation,Graduate Studies in Mathematics,"Cédric Villani: École Normale Supérieure de Lyon, Lyon, France",,
GSM/54,A Course in Convexity,Graduate Studies in Mathematics,"Alexander Barvinok: University of Michigan, Ann Arbor, Ann Arbor, MI",,
GSM/45,An Introduction to Measure and Integration: Second Edition,Graduate Studies in Mathematics,"Inder K. Rana: Indian Institute of Technology, Powai, Mumbai, India",,
GSM/50,An Invitation to Operator Theory,Graduate Studies in Mathematics,"Y. A. Abramovich: Indiana University–Purdue University, Indianapolis, IN,C. D. Aliprantis: Purdue University, West Lafayette, IN",,
GSM/47,Classical and Quantum Computation,Graduate Studies in Mathematics,"A. Yu. Kitaev: California Institute of Technology, Pasadena, CA, A. H. Shen:  Independent University of Moscow, Moscow, Russia,M. N. Vyalyi: Independent University of Moscow, Moscow, Russia",,
GSM/39,Classical Groups and Geometric Algebra,Graduate Studies in Mathematics,"Larry C. Grove: University of Arizona, Tuscon, AZ",,
GSM/52,"Global Analysis: Differential Forms in Analysis, Geometry and Physics",Graduate Studies in Mathematics,"Ilka Agricola: Humboldt University, Berlin, Germany,Thomas Friedrich: Humboldt University, Berlin, Germany",,
GSM/102,Introduction to Fourier Analysis and Wavelets,Graduate Studies in Mathematics,"Mark A. Pinsky: Northwestern University, Evanston, IL",,
GSM/42,Introduction to Quantum Groups and Crystal Bases,Graduate Studies in Mathematics,"Jin Hong: Korea Institute for Advanced Study, Seoul, Korea,Seok-Jin Kang: Korea Institute for Advanced Study, Seoul, Korea",,
GSM/48,Introduction to the \(h\)-Principle,Graduate Studies in Mathematics,"Y. Eliashberg, N. Mishachev",,
GSM/41,Introduction to the Theory of Differential Inclusions,Graduate Studies in Mathematics,"Georgi V. Smirnov: University of Porto, Porto, Portugal",,
GSM/43,Introduction to the Theory of Random Processes,Graduate Studies in Mathematics,"N. V. Krylov: University of Minnesota, Minneapolis, MN",,
GSM/44,Pick Interpolation and Hilbert Function Spaces,Graduate Studies in Mathematics,"Jim Agler: University of California at San Diego, San Diego, CA,John E. McCarthy: Washington University, St. Louis, MO",,
GSM/36,Principles of Functional Analysis: Second Edition,Graduate Studies in Mathematics,"Martin Schechter: University of California, Irvine, CA",,
GSM/51,Problems in Operator Theory,Graduate Studies in Mathematics,"Y. A. Abramovich, C. D. Aliprantis",,
GSM/49,Secondary Cohomology Operations,Graduate Studies in Mathematics,"John R. Harper: University of Rochester, Rochester, NY",,
GSM/46,Several Complex Variables with Connections to Algebraic Geometry and Lie Groups,Graduate Studies in Mathematics,"Joseph L. Taylor: University of Utah, Salt Lake City, UT",,
GSM/53,Spectral Methods of Automorphic Forms: Second Edition,Graduate Studies in Mathematics,"Henryk Iwaniec: Rutgers University, Piscataway, NJ",,
GSM/38,Stochastic Analysis on Manifolds,Graduate Studies in Mathematics,"Elton P. Hsu: Northwestern University, Evanston, IL",,
GSM/27,A Course in Differential Geometry,Graduate Studies in Mathematics,"Thierry Aubin: University of Paris, Paris, France",,
GSM/33,A Course in Metric Geometry,Graduate Studies in Mathematics,"Dmitri Burago: Pennsylvania State University, University Park, PA, Yuri Burago:  Steklov Institute of Mathematics, St. Petersburg, Russia,Sergei Ivanov: Steklov Institute of Mathematics, St. Petersburg, Russia",,
GSM/32,A Modern Theory of Integration,Graduate Studies in Mathematics,"Robert G. Bartle: Eastern Michigan University, Ypsilanti, MI and University of Illinois, Urbana, Urbana, IL",,
GSM/26,An Introduction to Symplectic Geometry,Graduate Studies in Mathematics,"Rolf Berndt: University of Hamburg, Hamburg, Germany",,
GSM/14.R,Analysis: Second Edition,Graduate Studies in Mathematics,"Elliott H. Lieb: Princeton University, Princeton, NJ,Michael Loss: Georgia Institute of Technology, Atlanta, GA",,
GSM/34,"Differential Geometry, Lie Groups, and Symmetric Spaces",Graduate Studies in Mathematics,"Sigurdur Helgason: Massachusetts Institute of Technology, Cambridge, MA",,
GSM/29,Fourier Analysis,Graduate Studies in Mathematics,"Javier Duoandikoetxea: Universidad del País Vasco/Euskal Herriko Unibertsitatea, Bilbao, Spain",,
GSM/35,Lecture Notes in Algebraic Topology,Graduate Studies in Mathematics,"James F. Davis: Indiana University, Bloomington, IN,Paul Kirk: Indiana University, Bloomington, IN",,
GSM/31,Option Pricing and Portfolio Optimization: Modern Methods of Financial Mathematics,Graduate Studies in Mathematics,"Ralf Korn: University of Kaiserslautern, Germany,Elke Korn: University of Kaiserslautern, Germany",,
GSM/32.M,Solutions Manual to A Modern Theory of Integration,Graduate Studies in Mathematics,"Robert G. Bartle: Eastern Michigan University, Ypsilanti, MI and University of Illinois, Urbana, Urbana, IL",,
GSM/37,"Theta Constants, Riemann Surfaces and the Modular Group: An Introduction with Applications to Uniformization Theorems, Partition Identities and Combinatorial Number Theory",Graduate Studies in Mathematics,"Hershel M. Farkas: The Hebrew University, Jerusalem, Israel,Irwin Kra: State University of New York, Stony Brook, NY",,
GSM/101,A Course in Approximation Theory,Graduate Studies in Mathematics,"Ward Cheney: University of Texas at Austin, Austin, TX,Will Light",,
GSM/21,A Course in Operator Theory,Graduate Studies in Mathematics,"John B. Conway: University of Tennessee, Knoxville, TN",,
GSM/25,Dirac Operators in Riemannian Geometry,Graduate Studies in Mathematics,"Thomas Friedrich: Institut für Mathematik, Humboldt-Universität, Berlin, Germany",,
GSM/23,Foliations I,Graduate Studies in Mathematics,"Alberto Candel: California Institute of Technology, Pasadena, CA,Lawrence Conlon: Washington University, St. Louis, MO",,
GSM/22,Growth of Algebras and Gelfand-Kirillov Dimension: Revised Edition,Graduate Studies in Mathematics,"Günter R. Krause: University of Manitoba, Winnipeg, MB, Canada,Thomas H. Lenagan: University of Edinburgh, Edinburgh, Scotland",,
GSM/28,Notes on Seiberg-Witten Theory,Graduate Studies in Mathematics,"Liviu I. Nicolaescu: University of Notre Dame, Notre Dame, IN",,
GSM/24,Number Theory: Algebraic Numbers and Functions,Graduate Studies in Mathematics,"Helmut Koch: Humboldt-University, Berlin, Germany",,
GSM/20,4-Manifolds and Kirby Calculus,Graduate Studies in Mathematics,"Robert E. Gompf: University of Texas, Austin, Austin, TX,András I. Stipsicz: ELTE, TTK, Budapest, Hungary",,
GSM/18,Discovering Modern Set Theory. II: Set-Theoretic Tools for Every Mathematician,Graduate Studies in Mathematics,"Winfried Just: Ohio University, Athens, OH,Martin Weese: University of Potsdam, Potsdam, Germany",,
GSM/15,Fundamentals of the Theory of Operator Algebras. Volume I: Elementary Theory,Graduate Studies in Mathematics,"Richard V. Kadison: University of Pennsylvania, Philadelphia, PA,John R. Ringrose: University of Newcastle, Newcastle upon Tyne, England",,
GSM/16,Fundamentals of the Theory of Operator Algebras. Volume II: Advanced Theory,Graduate Studies in Mathematics,"Richard V. Kadison: University of Pennsylvania, Philadelphia, PA,John R. Ringrose: University of Newcastle, Newcastle upon Tyne, England",,
GSM/17,Topics in Classical Automorphic Forms,Graduate Studies in Mathematics,"Henryk Iwaniec: Rutgers University, New Brunswick, NJ",,
GSM/7,Algebraic Number Fields: Second Edition,Graduate Studies in Mathematics,"Gerald J. Janusz: University of Illinois, Urbana, IL",,
GSM/9,An Invitation to Arithmetic Geometry,Graduate Studies in Mathematics,"Dino Lorenzini: University of Georgia, Athens, GA",,
GSM/8,Discovering Modern Set Theory. I: The Basics,Graduate Studies in Mathematics,"Winfried Just: Ohio University, Athens, OH,Martin Weese: Humboldt University, Berlin, Germany",,
GSM/11,Enveloping Algebras,Graduate Studies in Mathematics,Jacques Dixmier,,
GSM/12,Lectures on Elliptic and Parabolic Equations in Hölder Spaces,Graduate Studies in Mathematics,"N. V. Krylov: University of Minnesota, Minneapolis, Minneapolis, MN",,
GSM/6,Lectures on Quantum Groups,Graduate Studies in Mathematics,Jens Carsten Jantzen,,
GSM/10,Representations of Finite and Compact Groups,Graduate Studies in Mathematics,"Barry Simon: California Institute of Technology, Pasadena, CA",,
GSM/13,The Ergodic Theory of Discrete Sample Paths,Graduate Studies in Mathematics,Paul C. Shields,,
GSM/5,Algebraic Curves and Riemann Surfaces,Graduate Studies in Mathematics,"Rick Miranda: Colorado State University, Fort Collins, CO",,
GSM/100,Algebra: A Graduate Course,Graduate Studies in Mathematics,"I. Martin Isaacs: University of Wisconsin, Madison, WI",,
GSM/3,An Introduction to Gröbner Bases,Graduate Studies in Mathematics,"William W. Adams: University of Maryland, College Park, MD,Philippe Loustaunau: George Mason University, Fairfax, VA",,
GSM/4,"The Integrals of Lebesgue, Denjoy, Perron, and Henstock",Graduate Studies in Mathematics,"Russell A. Gordon: Whitman College, Walla Walla, WA",,
GSM/2,Combinatorial Rigidity,Graduate Studies in Mathematics,"Jack Graver: Syracuse University, Syracuse, NY, Brigitte Servatius:  Worcester Polytechnic Institute, Worcester, MA,Herman Servatius: Worcester Polytechnic Institute, Worcester, MA",,
GSM/1,The General Topology of Dynamical Systems,Graduate Studies in Mathematics,Ethan Akin,,
GSM/30,Noncommutative Noetherian Rings,Graduate Studies in Mathematics,"J. C. McConnell: University of Leeds, Leeds, England,J. C. Robson: University of Leeds, England",,
